1/1 Data export from Solartopo.com:
1/1 Date;1-1-2020;dd.mm.yyyy
1/1 UTC;2;h
1/1 Longitude;6.7333;Degree
1/1 Latitude;47.7167;Degree
1/1 Altitude;420;m
1/1 Time;Zenith;Azimuth
3/1 11:15;12.598782716344;146.69709422579
3/1 11:30;13.916994853577;149.97378687203
3/1 11:45;15.110596339445;153.31944835094
3/1 12:0;16.172492942848;156.73079107244
3/1 12:15;17.096121549974;160.20305083538
3/1 12:30;17.875539981688;163.72998550648
3/1 12:45;18.505542100695;167.30393580753
3/1 13:0;18.981779353013;170.91595223186
3/1 13:15;19.300875576854;174.55599085139
3/1 13:30;19.460523942873;178.21317436621
3/1 13:45;19.459556687739;181.87610349975
3/1 14:0;19.297981614726;185.53320217307
3/1 14:15;18.976981869611;189.17307581375
3/1 14:30;18.498879014034;192.7848562427
3/1 14:45;17.867062926576;196.35851253677
3/1 15:0;17.085894592598;199.8851113567
3/1 15:15;16.160591150351;203.35701193243
3/1 15:30;15.097104354886;206.76799214031
3/1 15:45;13.902005661666;210.113308509
3/1 16:0;12.582396858773;213.38969423546
3/1 16:15;11.145874533422;216.59530728206
3/1 16:30;9.6006027869959;219.72964235132
3/1 16:45;7.9556232187357;222.7934169708
3/1 17:0;6.2217485237274;225.78844504425
3/1 17:15;4.4141261896224;228.71750930645
3/1 17:30;2.5603896212414;231.58423845181
3/1 17:45;0.72738444394309;234.39299638411
3/1 18:0;-1.0585099112668;237.1487889677
3/1 18:15;-3.7536554878585;239.85718874497
3/1 18:30;-6.1596946127411;242.52428045387
3/1 18:45;-8.4226026933868;245.15662928073
3/1 19:0;-10.733939888205;247.76127018274
3/1 19:15;-13.088500558432;250.34571984342
3/1 19:30;-15.481231090046;252.91801290225
3/1 19:45;-17.907190815601;255.48676140283
3/1 20:0;-20.36150643483;258.06124015247
3/1 20:15;-22.839320270658;260.65150138311
3/1 20:30;-25.335729235477;263.2685199034
3/1 20:45;-27.845713707389;265.92437395122
3/1 21:0;-30.364054912395;268.63246795606
3/1 21:15;-32.885235548687;271.40780104361
3/1 21:30;-35.403320410835;274.26728854289
3/1 21:45;-37.911812619076;277.23014324968
3/1 22:0;-40.403476640586;280.31831713163
3/1 22:15;-42.870120882963;283.55700096236
3/1 22:30;-45.3023312748;286.97516654488
3/1 22:45;-47.689143591552;290.60610759656
3/1 23:0;-50.017646450872;294.48789482744
